party_id_key,party_name,id_document,id_number,assoc_id
uuid:49b51858-ad73-4e1e-91c1-e3f3b4d4fc48,H T,Cartão de Eleitor,,uuid:5f2ff3ea-42d7-44c1-9e1f-c5d3c6b8c763
uuid:647df226-a2c4-4e49-b50e-5b350ca746c8,J J,Cartão de Eleitor,J,uuid:7a67da39-31c0-4a83-96a7-d0a934eb3694
